glc_class,bin,area_Mha,bin_mid
51 Open evergreen broadleaved,10-20,0.03823108320376311,15.0
51 Open evergreen broadleaved,20-30,0.08095041665983721,25.0
51 Open evergreen broadleaved,30-40,0.18584100246926047,35.0
51 Open evergreen broadleaved,40-50,0.3388844335200632,45.0
51 Open evergreen broadleaved,50-60,0.5446267203000685,55.0
51 Open evergreen broadleaved,60-70,0.673556582553571,65.0
51 Open evergreen broadleaved,70-80,0.7213400896759031,75.0
51 Open evergreen broadleaved,80-90,0.24104183314912503,85.0
51 Open evergreen broadleaved,90-100,0.007225241674450413,95.0
52 Closed evergreen broadleaved,10-20,0.00025543447155663285,15.0
52 Closed evergreen broadleaved,20-30,0.0014908496527106616,25.0
52 Closed evergreen broadleaved,30-40,0.0029621700112299138,35.0
52 Closed evergreen broadleaved,40-50,0.015936177236887252,45.0
52 Closed evergreen broadleaved,50-60,0.041476868627834236,55.0
52 Closed evergreen broadleaved,60-70,0.01830734971646518,65.0
52 Closed evergreen broadleaved,70-80,0.004205780133591759,75.0
52 Closed evergreen broadleaved,80-90,0.0006367489435904178,85.0
52 Closed evergreen broadleaved,90-100,6.012000022792563e-05,95.0
61 Open deciduous broadleaved,10-20,0.2826306953067962,15.0
61 Open deciduous broadleaved,20-30,0.38530005110779836,25.0
61 Open deciduous broadleaved,30-40,0.41023206684937874,35.0
61 Open deciduous broadleaved,40-50,0.5022304723746309,45.0
61 Open deciduous broadleaved,50-60,0.6917241587400944,55.0
61 Open deciduous broadleaved,60-70,0.77061711750978,65.0
61 Open deciduous broadleaved,70-80,0.8718613748347912,75.0
61 Open deciduous broadleaved,80-90,0.27394788139152443,85.0
61 Open deciduous broadleaved,90-100,0.03197653035652181,95.0
62 Closed deciduous broadleaved,10-20,0.5794617978439002,15.0
62 Closed deciduous broadleaved,20-30,1.2176283730868322,25.0
62 Closed deciduous broadleaved,30-40,2.4579700953186,35.0
62 Closed deciduous broadleaved,40-50,5.1002690865124976,45.0
62 Closed deciduous broadleaved,50-60,9.460088077982526,55.0
62 Closed deciduous broadleaved,60-70,16.018553538376246,65.0
62 Closed deciduous broadleaved,70-80,31.692239015445036,75.0
62 Closed deciduous broadleaved,80-90,17.483101030516845,85.0
62 Closed deciduous broadleaved,90-100,0.8685095231750259,95.0
71 Open evergreen needleleaved,10-20,4.341704681871939,15.0
71 Open evergreen needleleaved,20-30,7.56148825419636,25.0
71 Open evergreen needleleaved,30-40,6.517791300357165,35.0
71 Open evergreen needleleaved,40-50,2.0263811455647227,45.0
71 Open evergreen needleleaved,50-60,0.500728355780701,55.0
71 Open evergreen needleleaved,60-70,0.1076065235844239,65.0
71 Open evergreen needleleaved,70-80,0.032662951535593565,75.0
71 Open evergreen needleleaved,80-90,0.006747208966755355,85.0
71 Open evergreen needleleaved,90-100,0.002156580008175645,95.0
72 Closed evergreen needleleaved,10-20,0.6550506374245884,15.0
72 Closed evergreen needleleaved,20-30,2.075114974337717,25.0
72 Closed evergreen needleleaved,30-40,7.766956144740028,35.0
72 Closed evergreen needleleaved,40-50,15.137581192448089,45.0
72 Closed evergreen needleleaved,50-60,17.60805621887292,55.0
72 Closed evergreen needleleaved,60-70,17.12645340704708,65.0
72 Closed evergreen needleleaved,70-80,18.13175362615247,75.0
72 Closed evergreen needleleaved,80-90,5.1650684595816925,85.0
72 Closed evergreen needleleaved,90-100,0.5846554832753551,95.0
81 Open deciduous needleleaved,10-20,0.039202961442742254,15.0
81 Open deciduous needleleaved,20-30,0.15888445330824053,25.0
81 Open deciduous needleleaved,30-40,0.5896622990590428,35.0
81 Open deciduous needleleaved,40-50,0.9193423944265652,45.0
81 Open deciduous needleleaved,50-60,1.9151423892606434,55.0
81 Open deciduous needleleaved,60-70,2.844548955019484,65.0
81 Open deciduous needleleaved,70-80,5.273317817874438,75.0
81 Open deciduous needleleaved,80-90,2.679093395568683,85.0
81 Open deciduous needleleaved,90-100,0.27028033761291476,95.0
82 Closed deciduous needleleaved,10-20,0.004191955074715606,15.0
82 Closed deciduous needleleaved,20-30,0.01582220723645475,25.0
82 Closed deciduous needleleaved,30-40,0.05834507669178374,35.0
82 Closed deciduous needleleaved,40-50,0.055572591034213276,45.0
82 Closed deciduous needleleaved,50-60,0.0868203642115025,55.0
82 Closed deciduous needleleaved,60-70,0.09729646448651333,65.0
82 Closed deciduous needleleaved,70-80,0.10618224110843662,75.0
82 Closed deciduous needleleaved,80-90,0.02266467679180688,85.0
82 Closed deciduous needleleaved,90-100,0.002666699657168448,95.0
91 Open mixed forest,10-20,0.07782575853034465,15.0
91 Open mixed forest,20-30,0.08574605291331248,25.0
91 Open mixed forest,30-40,0.11999317845491375,35.0
91 Open mixed forest,40-50,0.09227541846747744,45.0
91 Open mixed forest,50-60,0.061451325056500285,55.0
91 Open mixed forest,60-70,0.039876822857060935,65.0
91 Open mixed forest,70-80,0.027834313517288427,75.0
91 Open mixed forest,80-90,0.01041838168655614,85.0
91 Open mixed forest,90-100,0.0014300100054213125,95.0
92 Closed mixed forest,10-20,0.0,15.0
92 Closed mixed forest,20-30,0.0,25.0
92 Closed mixed forest,30-40,0.0,35.0
92 Closed mixed forest,40-50,0.0,45.0
92 Closed mixed forest,50-60,0.0,55.0
92 Closed mixed forest,60-70,0.0,65.0
92 Closed mixed forest,70-80,0.0,75.0
92 Closed mixed forest,80-90,0.0,85.0
92 Closed mixed forest,90-100,0.0,95.0
