country_na,threshold,sum
Chad,30,0.4087064422485289
Malawi,30,1.5205249135054688
Zambia,30,24.100329614285034
Zimbabwe,30,1.4237556373145774
Botswana,30,0.020559142672581528
Namibia,30,0.003977049359526822
Angola,30,55.29528891348889
Burundi,30,0.5366822051745025
Rwanda,30,0.49857361587405785
South Africa,30,5.983608782545032
Lesotho,30,0.006060272069461527
Swaziland,30,0.46873977684178114
Niger,30,2.3564566162109374E-6
Sudan,30,0.02103143463888352
Libya,30,0.0068543715515400954
Tunisia,30,0.22615564813051955
Egypt,30,0.1544421165492096
Eritrea,30,4.404414270019531E-6
Ethiopia,30,12.04297915189422
Djibouti,30,8.74137451171875E-8
Somalia,30,0.09082484767970839
Kenya,30,3.30741245460307
Uganda,30,7.763072078160067
Tanzania,30,26.39480356926851
Mozambique,30,28.8839322030705
Comoros,30,0.13442047036952753
Madagascar,30,17.113527398913405
Cabo Verde,30,0.007354259155855505
Mauritania,30,3.3233370434570366E-5
Morocco,30,0.6819317180626135
Algeria,30,1.2552056857575213
Mali,30,0.026257686375715156
Burkina Faso,30,1.2696892027647732E-4
Togo,30,0.55279764044926
Ghana,30,6.960560269821585
Cote d'Ivoire,30,14.891121307396999
Guinea,30,8.11818536019128
Senegal,30,0.039186746908443586
"Gambia, The",30,0.004577694690274718
Guinea-Bissau,30,1.0563585266454052
Sierra Leone,30,5.608856043596079
Liberia,30,9.38987557094609
Benin,30,0.1693673293166799
Nigeria,30,10.045836309822677
Cameroon,30,31.428053450627747
Equatorial Guinea,30,2.648530734376626
Sao Tome & Principe,30,0.014045533401691056
Gabon,30,24.553817920190134
Rep of the Congo,30,26.514459313757026
Central African Rep,30,47.07367835559164
Dem Rep of the Congo,30,199.28287239590628
Japan,30,26.65229482502317
"Korea, South",30,5.320994491581206
"Korea, North",30,5.190666107474213
China,30,40.287830185977896
China,30,1.4793251373419558
China,30,32.41639809810214
China,30,88.83157804796868
Russia,30,93.91332038355912
Ukraine,30,11.124606247798607
Romania,30,7.926893115669489
Moldova,30,0.35776472597472014
Russia,30,86.90849494162138
Finland,30,21.464044639455707
Norway,30,11.388072001433985
Andorra,30,0.01907114516115279
Italy,30,9.318723599006246
Monaco,30,4.550902282714844E-7
Malta,30,1.0778798187669943E-4
San Marino,30,8.607924505207407E-4
Croatia,30,2.4017113960512426
Albania,30,0.6529092441807116
Bosnia & Herzegovina,30,2.670646623370591
Montenegro,30,0.6429577115991434
Serbia,30,2.712383192610597
Greece,30,3.6621516383469594
Macedonia,30,0.8128658797035831
Bulgaria,30,4.1144517619878
Portugal,30,2.2900936658247915
Spain,30,10.998379666120494
France,30,16.81057883194899
Sweden,30,27.707614325803625
Denmark,30,0.6577865735474716
Estonia,30,2.633596566626709
Latvia,30,3.5456802267561214
Lithuania,30,2.3284444453699606
Belarus,30,9.15668270446243
Poland,30,10.465164398128032
Germany,30,12.544383424910441
Czechia,30,3.089204614083232
Slovakia,30,2.390978202274851
Hungary,30,1.9932662315639897
Slovenia,30,1.3124757123522384
Austria,30,4.344282316643867
Switzerland,30,1.5466842465550377
Liechtenstein,30,0.008888618878601307
Luxembourg,30,0.10227987470755845
Netherlands,30,0.5952216389441239
Belgium,30,0.8662559293441341
United Kingdom,30,3.68191714803102
Ireland,30,0.8369722356845031
Iceland,30,0.0
Russia,30,209.87930235944887
Russia,30,147.09581765568035
Mongolia,30,4.079915413363054
Russia,30,99.38301718001527
Russia,30,124.4798868273763
Maldives,30,9.976447459335031E-4
Bhutan,30,2.5759412420343875
Afghanistan,30,0.2396366953683419
Pakistan,30,1.0352801844415211
Nepal,30,5.167045193880624
Sri Lanka,30,3.940087281823915
India,30,38.86934601698488
Bangladesh,30,1.9291116962552377
Palau,30,0.03887726428001166
Nauru,30,0.0
Tuvalu,30,0.0
Cook Is,30,0.0
Tonga,30,0.0
Niue,30,0.0
Samoa,30,0.0
Marshall Is,30,0.0
Kiribati,30,0.0
Fed States of Micronesia,30,0.0037332453725715245
Papua New Guinea,30,42.57185407723021
Solomon Is,30,2.5577741357414228
New Zealand,30,11.122894083855543
Fiji,30,1.5406702383927635
Vanuatu,30,1.0510897404205892
Indonesia,30,159.16298163850212
Singapore,30,0.01823509082979646
Brunei,30,0.5365885974656076
Philippines,30,18.18425476122785
Timor-Leste,30,0.7261144457425761
Malaysia,30,29.278572297399656
Thailand,30,19.96717478262606
Burma,30,42.66772441720623
Laos,30,19.126751591955927
Cambodia,30,8.811921866907674
Vietnam,30,16.533178495291875
Oman,30,6.540773010253906E-7
United Arab Emirates,30,0.0
Qatar,30,0.0
Bahrain,30,0.0
Iran,30,1.7457020702110746
Kuwait,30,0.0
Azerbaijan,30,1.2725051151428797
Armenia,30,0.34171555874703885
Georgia,30,3.1482027505070915
Turkey,30,10.063975106860049
Cyprus,30,0.10199606980235179
Israel,30,0.0281112040275444
Jordan,30,0.002313795620572626
Saudi Arabia,30,6.904660882568359E-6
West Bank,30,3.8800486739006587E-4
West Bank,30,0.0
Iraq,30,0.01719125721552042
Syria,30,0.107559668080785
Lebanon,30,0.06626381456486212
Syria,30,3.7426621804294933E-5
Syria,30,0.001795044519910229
Israel,30,9.80936297607422E-7
Syria,30,8.29301906044157E-5
Syria,30,0.0
Yemen,30,1.2467246355590814E-4
Australia,30,42.125580224964146
Cuba,30,3.9888081674045566
Antigua & Barbuda,30,0.019198171229326516
St Kitts & Nevis,30,0.01313930166469573
Dominica,30,0.06746513234368562
Trinidad & Tobago,30,0.38784497876398805
Grenada,30,0.02761965255616218
Saint Lucia,30,0.050485655074971617
St Vincent & the Grenadines,30,0.02713088398694566
Barbados,30,0.005295561391826057
Dominican Republic,30,2.5892976110730683
Haiti,30,0.8594662944964381
Jamaica,30,0.7691417402987553
Cuba,30,1.493524676991178E-4
Turkmenistan,30,0.010895812013808834
Kyrgyzstan,30,0.6812759040662826
