country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,GLC_Mha,deviation_GLC_Mha,deviation_GLC_%
Afghanistan,10,0.4273046467966062,Near East,West Asia,1.209,-0.7816953532033939,64.65635675793166,1.0980200727015257,-0.6707154259049195,61.08407692900527
Afghanistan,20,0.2876565348574036,Near East,West Asia,1.209,-0.9213434651425965,76.20706907713783,1.0980200727015257,-0.8103635378441221,73.80225170659543
Afghanistan,30,0.2396366953683419,Near East,West Asia,1.209,-0.9693633046316582,80.17893338557967,1.0980200727015257,-0.8583833773331838,78.17556333203008
Afghanistan,40,0.1919612607382973,Near East,West Asia,1.209,-1.0170387392617029,84.12231093976035,1.0980200727015257,-0.9060588119632283,82.51750896811902
Afghanistan,50,0.1467591339859152,Near East,West Asia,1.209,-1.062240866014085,87.86111381423366,1.0980200727015257,-0.9512609387156105,86.6342029955031
Albania,10,0.8515930154907698,Europe,Eastern Europe,0.769,0.0825930154907698,10.740314108032484,0.9027382967331888,-0.051145281242419016,5.665571232272136
Albania,20,0.7611004456546243,Europe,Eastern Europe,0.769,-0.007899554345375703,1.0272502399708328,0.9027382967331888,-0.14163785107856453,15.689801971526048
Albania,30,0.6529092441807116,Europe,Eastern Europe,0.769,-0.1160907558192884,15.096327154653888,0.9027382967331888,-0.24982905255247723,27.67458226338171
Albania,40,0.5934204441450519,Europe,Eastern Europe,0.769,-0.1755795558549481,22.83219191871887,0.9027382967331888,-0.30931785258813693,34.26439907418242
Albania,50,0.5373822825876876,Europe,Eastern Europe,0.769,-0.2316177174123124,30.11933906532021,0.9027382967331888,-0.36535601414550123,40.47197459857904
Algeria,10,1.714722157987719,Near East,South/East Mediterranean,1.708,0.006722157987719024,0.39356896883600845,2.221063659620586,-0.5063415016328672,22.79725299361132
Algeria,20,1.4398615749623307,Near East,South/East Mediterranean,1.708,-0.26813842503766927,15.698971020940824,2.221063659620586,-0.7812020846582555,35.17243106808134
Algeria,30,1.2552056857575211,Near East,South/East Mediterranean,1.708,-0.45279431424247885,26.510205751901573,2.221063659620586,-0.965857973863065,43.48628053407789
Algeria,40,1.1304150692137194,Near East,South/East Mediterranean,1.708,-0.5775849307862806,33.81644793830682,2.221063659620586,-1.0906485904068668,49.104787504973054
Algeria,50,0.8996510089250517,Near East,South/East Mediterranean,1.708,-0.8083489910749483,47.32722430181196,2.221063659620586,-1.3214126506955344,59.49458697285899
Andorra,10,0.0208315405835969,Europe,Western Europe,0.017,0.003831540583596898,22.53847402115822,0.0275740791986148,-0.0067425386150179005,24.452452487902537
Andorra,20,0.0198687288111269,Europe,Western Europe,0.017,0.0028687288111268992,16.874875359569995,0.0275740791986148,-0.007705350387487899,27.944180228056293
Andorra,30,0.0190711451611527,Europe,Western Europe,0.017,0.0020711451611526988,12.183206830309992,0.0275740791986148,-0.0085029340374621,30.83669259167592
Andorra,40,0.0183898493803496,Europe,Western Europe,0.017,0.0013898493803495976,8.17558459029175,0.0275740791986148,-0.0091842298182652,33.307476025261344
Andorra,50,0.0169039259161071,Europe,Western Europe,0.017,-9.607408389290112e-05,0.5651416699582418,0.0275740791986148,-0.0106701532825077,38.6963176744764
Angola,10,97.01306719950075,Africa,Southern Africa,76.013,21.000067199500748,27.626941706682732,81.05771716366883,15.955350035831927,19.68393706871297
Angola,20,72.70029935900743,Africa,Southern Africa,76.013,-3.312700640992574,4.358071173342156,81.05771716366883,-8.357417804661395,10.310452967465638
Angola,30,55.29528891348889,Africa,Southern Africa,76.013,-20.717711086511116,27.255484044191274,81.05771716366883,-25.762428250179937,31.78281988642904
Angola,40,46.64943571427124,Africa,Southern Africa,76.013,-29.363564285728764,38.629661091824765,81.05771716366883,-34.408281449397585,42.449112377445346
Angola,50,31.9477566842792,Africa,Southern Africa,76.013,-44.06524331572081,57.970667274967184,81.05771716366883,-49.10996047938963,60.586409533627204
Antigua & Barbuda,10,0.0210149942690483,Americas,Caribbean,0.009,0.0120149942690483,133.49993632275888,0.0271692872132174,-0.006154292944169099,22.65165403814915
Antigua & Barbuda,20,0.020051984069902,Americas,Caribbean,0.009,0.011051984069902,122.79982299891113,0.0271692872132174,-0.0071173031433154,26.196134949955376
Antigua & Barbuda,30,0.0191981712293265,Americas,Caribbean,0.009,0.0101981712293265,113.31301365918334,0.0271692872132174,-0.0079711159838909,29.338701164059565
Antigua & Barbuda,40,0.0181850873640111,Americas,Caribbean,0.009,0.009185087364011102,102.05652626679003,0.0271692872132174,-0.008984199849206297,33.06748454127879
Antigua & Barbuda,50,0.017128657370137,Americas,Caribbean,0.009,0.008128657370137,90.31841522374445,0.0271692872132174,-0.0100406298430804,36.95580883033178
Argentina,10,43.526131903287656,Americas,South America,53.442,-9.915868096712344,18.554447993548788,56.41084933364992,-12.884717430362265,22.84084991196248
