country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,bin,estimation
Afghanistan,10,0.4273046467966062,Near East,West Asia,1.209,-0.7816953532033939,64.65635675793166,Low (< 4 Mha),overestimated
Afghanistan,20,0.2876565348574036,Near East,West Asia,1.209,-0.9213434651425965,76.20706907713783,Low (< 4 Mha),overestimated
Afghanistan,30,0.2396366953683419,Near East,West Asia,1.209,-0.9693633046316582,80.17893338557967,Low (< 4 Mha),overestimated
Afghanistan,40,0.1919612607382973,Near East,West Asia,1.209,-1.0170387392617029,84.12231093976035,Low (< 4 Mha),overestimated
Afghanistan,50,0.1467591339859152,Near East,West Asia,1.209,-1.062240866014085,87.86111381423366,Low (< 4 Mha),overestimated
Albania,10,0.8515930154907698,Europe,Eastern Europe,0.769,0.0825930154907698,10.740314108032484,Low (< 4 Mha),mixed
Albania,20,0.7611004456546243,Europe,Eastern Europe,0.769,-0.007899554345375703,1.0272502399708328,Low (< 4 Mha),mixed
Albania,30,0.6529092441807116,Europe,Eastern Europe,0.769,-0.1160907558192884,15.096327154653888,Low (< 4 Mha),mixed
Albania,40,0.5934204441450519,Europe,Eastern Europe,0.769,-0.1755795558549481,22.83219191871887,Low (< 4 Mha),mixed
Albania,50,0.5373822825876876,Europe,Eastern Europe,0.769,-0.2316177174123124,30.11933906532021,Low (< 4 Mha),mixed
Algeria,10,1.714722157987719,Near East,South/East Mediterranean,1.708,0.006722157987719024,0.39356896883600845,Low (< 4 Mha),mixed
Algeria,20,1.4398615749623307,Near East,South/East Mediterranean,1.708,-0.26813842503766927,15.698971020940824,Low (< 4 Mha),mixed
Algeria,30,1.2552056857575211,Near East,South/East Mediterranean,1.708,-0.45279431424247885,26.510205751901573,Low (< 4 Mha),mixed
Algeria,40,1.1304150692137194,Near East,South/East Mediterranean,1.708,-0.5775849307862806,33.81644793830682,Low (< 4 Mha),mixed
Algeria,50,0.8996510089250517,Near East,South/East Mediterranean,1.708,-0.8083489910749483,47.32722430181196,Low (< 4 Mha),mixed
Andorra,10,0.0208315405835969,Europe,Western Europe,0.017,0.003831540583596898,22.53847402115822,Low (< 4 Mha),mixed
Andorra,20,0.0198687288111269,Europe,Western Europe,0.017,0.0028687288111268992,16.874875359569995,Low (< 4 Mha),mixed
Andorra,30,0.0190711451611527,Europe,Western Europe,0.017,0.0020711451611526988,12.183206830309992,Low (< 4 Mha),mixed
Andorra,40,0.0183898493803496,Europe,Western Europe,0.017,0.0013898493803495976,8.17558459029175,Low (< 4 Mha),mixed
Andorra,50,0.0169039259161071,Europe,Western Europe,0.017,-9.607408389290112e-05,0.5651416699582418,Low (< 4 Mha),mixed
Angola,10,97.01306719950075,Africa,Southern Africa,76.013,21.000067199500748,27.626941706682732,High (> 37 Mha),mixed
Angola,20,72.70029935900743,Africa,Southern Africa,76.013,-3.312700640992574,4.358071173342156,High (> 37 Mha),mixed
Angola,30,55.29528891348889,Africa,Southern Africa,76.013,-20.717711086511116,27.255484044191274,High (> 37 Mha),mixed
Angola,40,46.64943571427124,Africa,Southern Africa,76.013,-29.363564285728764,38.629661091824765,High (> 37 Mha),mixed
Angola,50,31.9477566842792,Africa,Southern Africa,76.013,-44.06524331572081,57.970667274967184,High (> 37 Mha),mixed
Antigua & Barbuda,10,0.0210149942690483,Americas,Caribbean,0.009,0.0120149942690483,133.49993632275888,Low (< 4 Mha),underestimated
Antigua & Barbuda,20,0.020051984069902,Americas,Caribbean,0.009,0.011051984069902,122.79982299891113,Low (< 4 Mha),underestimated
Antigua & Barbuda,30,0.0191981712293265,Americas,Caribbean,0.009,0.0101981712293265,113.31301365918334,Low (< 4 Mha),underestimated
Antigua & Barbuda,40,0.0181850873640111,Americas,Caribbean,0.009,0.009185087364011102,102.05652626679003,Low (< 4 Mha),underestimated
Antigua & Barbuda,50,0.017128657370137,Americas,Caribbean,0.009,0.008128657370137,90.31841522374445,Low (< 4 Mha),underestimated
Argentina,10,43.526131903287656,Americas,South America,53.442,-9.915868096712344,18.554447993548788,High (> 37 Mha),overestimated
Argentina,20,41.64014311864562,Americas,South America,53.442,-11.801856881354382,22.0834865486965,High (> 37 Mha),overestimated
Argentina,30,39.19875243953757,Americas,South America,53.442,-14.243247560462429,26.651786161562868,High (> 37 Mha),overestimated
Argentina,40,35.534607184966134,Americas,South America,53.442,-17.907392815033866,33.50808879726407,High (> 37 Mha),overestimated
Argentina,50,23.15532289191849,Americas,South America,53.442,-30.28667710808151,56.67205027521708,High (> 37 Mha),overestimated
Armenia,10,0.3904352705894211,Europe,Eastern Europe,0.333,0.057435270589421106,17.247829005832163,Low (< 4 Mha),mixed
Armenia,20,0.3647241879021072,Europe,Eastern Europe,0.333,0.03172418790210718,9.526783153785939,Low (< 4 Mha),mixed
Armenia,30,0.3417155587470388,Europe,Eastern Europe,0.333,0.008715558747038776,2.6172849090206536,Low (< 4 Mha),mixed
Armenia,40,0.3284367400224365,Europe,Eastern Europe,0.333,-0.004563259977563516,1.3703483416106654,Low (< 4 Mha),mixed
Armenia,50,0.2993558534942673,Europe,Eastern Europe,0.333,-0.03364414650573272,10.103347299018834,Low (< 4 Mha),mixed
Australia,10,70.19580338522775,Asia and the Pacific,Pacific Region,132.907,-62.71119661477226,47.184269161723805,High (> 37 Mha),overestimated
Australia,20,51.07825048409508,Asia and the Pacific,Pacific Region,132.907,-81.82874951590493,61.568427182845845,High (> 37 Mha),overestimated
Australia,30,42.12558022496415,Asia and the Pacific,Pacific Region,132.907,-90.78141977503586,68.3044683688864,High (> 37 Mha),overestimated
Australia,40,35.93177980053465,Asia and the Pacific,Pacific Region,132.907,-96.97522019946535,72.96471984129154,High (> 37 Mha),overestimated
Australia,50,25.65873774899396,Asia and the Pacific,Pacific Region,132.907,-107.24826225100605,80.69421644533851,High (> 37 Mha),overestimated
Austria,10,4.525449977725106,Europe,Western Europe,3.838,0.6874499777251062,17.91167216584435,Low (< 4 Mha),underestimated
Austria,20,4.430324522332322,Europe,Western Europe,3.838,0.5923245223323219,15.433155871087074,Low (< 4 Mha),underestimated
Austria,30,4.344282316643867,Europe,Western Europe,3.838,0.5062823166438672,13.19130580103875,Low (< 4 Mha),underestimated
Austria,40,4.271447695059162,Europe,Western Europe,3.838,0.43344769505916236,11.293582466366919,Low (< 4 Mha),underestimated
Austria,50,4.11989201672049,Europe,Western Europe,3.838,0.2818920167204899,7.344763332998696,Low (< 4 Mha),underestimated
Azerbaijan,10,1.4998208538670126,Near East,Central Asia,0.987,0.5128208538670126,51.95753331985943,Low (< 4 Mha),underestimated
Azerbaijan,20,1.402747691510975,Near East,Central Asia,0.987,0.4157476915109749,42.12235982887284,Low (< 4 Mha),underestimated
Azerbaijan,30,1.2725051151428797,Near East,Central Asia,0.987,0.2855051151428797,28.926556752064812,Low (< 4 Mha),underestimated
Azerbaijan,40,1.1978371259967553,Near East,Central Asia,0.987,0.2108371259967553,21.361410941920496,Low (< 4 Mha),underestimated
Azerbaijan,50,1.1129157253139648,Near East,Central Asia,0.987,0.12591572531396478,12.757418978111934,Low (< 4 Mha),underestimated
"Bahamas, The",10,0.3413132335837751,Americas,Caribbean,0.51,-0.16868676641622493,33.07583655220097,Low (< 4 Mha),overestimated
