NAME,threshold,sum
Rhode Island,40,0.1836593535201166
New Hampshire,40,2.0674455031383574
Vermont,40,1.9640849137667524
Connecticut,40,0.9629587470614943
Maine,40,7.189675998716313
Massachusetts,40,1.506482040448704
New Jersey,40,1.050217159389888
Pennsylvania,40,7.34750997443813
New York,40,8.291995909518114
Illinois,40,2.0850412233659616
Wisconsin,40,6.975357976437628
Ohio,40,3.42564432102843
Michigan,40,8.435053139127875
Indiana,40,2.0370525888412048
Minnesota,40,7.733040181987644
Nebraska,40,0.2661067676715283
North Dakota,40,0.3280352985584464
Missouri,40,6.49853210449607
Kansas,40,0.7830757145061669
South Dakota,40,0.4360035196646475
Iowa,40,1.1057416900737425
West Virginia,40,5.097690053939995
Florida,40,6.9668171585856395
Maryland,40,1.1726218314017842
North Carolina,40,7.813663856820777
Delaware,40,0.1589021607668991
Georgia,40,9.569198959390391
South Carolina,40,5.086607713411618
Virginia,40,6.794950943757686
Alabama,40,8.899154762598444
Tennessee,40,6.045609452834408
Kentucky,40,5.321123766320108
Mississippi,40,7.546551123883082
Louisiana,40,6.122640567207003
Texas,40,7.701045568242855
Oklahoma,40,3.1970994561153305
Arkansas,40,7.5211188729491
Idaho,40,6.942026726135389
New Mexico,40,2.022004466508906
Utah,40,1.801265837536075
Colorado,40,4.375382836707217
Wyoming,40,2.4792176798153003
Nevada,40,0.5139172086924855
Montana,40,7.058301846830544
Arizona,40,1.5158838424915784
California,40,9.037234642170118
Oregon,40,9.292682429945051
Washington,40,8.493568703900362
Hawaii,40,0.6269218381603424
Alaska,40,46.13034874418985
