country_na,threshold,sum
Chad,20,1.8864281286651465
Malawi,20,3.175120908433479
Zambia,20,39.95742666807981
Zimbabwe,20,4.240769570178498
Botswana,20,0.24091898346393154
Namibia,20,0.04648526264462494
Angola,20,72.70029935900743
Burundi,20,1.293251320053673
Rwanda,20,1.0285776778171836
South Africa,20,9.504080717939447
Lesotho,20,0.02446499286249758
Swaziland,20,0.7689615047110807
Niger,20,3.146268173777861E-5
Sudan,20,0.08715849961630215
Libya,20,0.014233474396616406
Tunisia,20,0.2524661128005028
Egypt,20,0.6866310461235989
Eritrea,20,8.827301730957013E-5
Ethiopia,20,19.95274085485958
Djibouti,20,7.004596435546874E-7
Somalia,20,0.2648632993378343
Kenya,20,5.202348890919246
Uganda,20,12.819743711884549
Tanzania,20,42.77072589547597
Mozambique,20,46.92151543415912
Comoros,20,0.15077439482815325
Madagascar,20,21.69617725223687
Cabo Verde,20,0.008433724728265257
Mauritania,20,3.922913738403317E-5
Morocco,20,0.847245037284987
Algeria,20,1.4398615749623307
Mali,20,0.32696719346971986
Burkina Faso,20,0.016352590170822284
Togo,20,1.4272272152166148
Ghana,20,9.723525591484702
Cote d'Ivoire,20,21.68633759119923
Guinea,20,14.837502436329634
Senegal,20,0.7324356421776943
"Gambia, The",20,0.07816856253333589
Guinea-Bissau,20,2.1622802136820445
Sierra Leone,20,6.529522004112711
Liberia,20,9.48326957183381
Benin,20,1.70462332633696
Nigeria,20,17.29398085405508
Cameroon,20,36.9435252842927
Equatorial Guinea,20,2.6561343977647374
Sao Tome & Principe,20,0.014771275813749672
Gabon,20,25.08852464275288
Rep of the Congo,20,31.09570107926129
Central African Rep,20,54.946430367520584
Dem Rep of the Congo,20,220.63756505371802
Japan,20,27.069841928320752
"Korea, South",20,5.54129206537697
"Korea, North",20,5.5229711271970325
China,20,43.785920113891805
China,20,1.659914633307886
China,20,34.50595310944615
China,20,96.91769127567161
Russia,20,96.54524234182671
Ukraine,20,12.11502306721194
Romania,20,8.222442304467336
Moldova,20,0.40415105674755897
Russia,20,89.09928624432847
Finland,20,22.013805049406223
Norway,20,11.82030180859039
Andorra,20,0.019868728811126935
Italy,20,10.015451928526833
Monaco,20,1.364498686738855E-6
Malta,20,1.3512862124432748E-4
San Marino,20,0.0010373754760631638
Croatia,20,2.5360740107776882
Albania,20,0.7611004456546243
Bosnia & Herzegovina,20,2.7888592481574084
Montenegro,20,0.6820615488855232
Serbia,20,2.8802485052407265
Greece,20,4.330438647469004
Macedonia,20,0.8746583440584083
Bulgaria,20,4.298219105149225
Portugal,20,2.6515121987312775
Spain,20,12.62146187018509
France,20,17.663135287974836
Sweden,20,28.43925570176347
Denmark,20,0.7024464199481856
Estonia,20,2.695294670287834
Latvia,20,3.627104463920186
Lithuania,20,2.383554502012489
Belarus,20,9.430437395091094
Poland,20,10.808599891975867
Germany,20,12.960882558746452
