country_na,threshold,sum
Chad,10,13.103521128305033
Malawi,10,7.149531437650368
Zambia,10,61.58971057229657
Zimbabwe,10,18.678327691582673
Botswana,10,2.642043788490907
Namibia,10,1.7716330948045822
Angola,10,97.01306719950075
Burundi,10,2.2839018064088394
Rwanda,10,2.066463964373473
South Africa,10,22.6345646268749
Lesotho,10,0.12817708508961245
Swaziland,10,1.466876822899348
Niger,10,0.026923209494381678
Sudan,10,2.718611945873222
Libya,10,0.024780656993326454
Tunisia,10,0.2920033582504432
Egypt,10,0.955950617918848
Eritrea,10,0.0016488128279991596
Ethiopia,10,31.85175443750785
Djibouti,10,1.4094478962019376E-5
Somalia,10,3.975323098435011
Kenya,10,11.073128283851347
Uganda,10,18.38184276158388
Tanzania,10,65.48896778261529
Mozambique,10,71.04642130938718
Comoros,10,0.15788973842977616
Madagascar,10,33.35610909300728
Cabo Verde,10,0.011146388080267624
Mauritania,10,6.502349122867359E-5
Morocco,10,1.1332436673503987
Algeria,10,1.714722157987719
Mali,10,8.406427654629606
Burkina Faso,10,3.3821995975514616
Togo,10,4.318550807273529
Ghana,10,18.477190981346716
Cote d'Ivoire,10,30.962141542701804
Guinea,10,22.58437737167438
Senegal,10,4.812682914670145
"Gambia, The",10,0.46498325561916676
Guinea-Bissau,10,2.9184107806012283
Sierra Leone,10,7.13310778678188
Liberia,10,9.547654829109609
Benin,10,8.978525507417544
Nigeria,10,43.11641262781386
Cameroon,10,41.71439182286021
Equatorial Guinea,10,2.660897478292477
Sao Tome & Principe,10,0.015215958952203436
Gabon,10,25.761527174553695
Rep of the Congo,10,33.704369396484964
Central African Rep,10,60.048535136391735
Dem Rep of the Congo,10,227.77899756038994
Japan,10,27.57113739558299
"Korea, South",10,5.719119022932742
"Korea, North",10,5.865169649224272
China,10,47.22712218516959
China,10,2.0151011895884543
China,10,36.79294560739609
China,10,103.91099433582035
Russia,10,99.31824897188316
Ukraine,10,13.2249352851511
Romania,10,8.517666708075417
Moldova,10,0.4517069585082872
Russia,10,91.28059222474677
Finland,10,22.63564851102299
Norway,10,12.429635654319664
Andorra,10,0.02083154058359698
Italy,10,10.499592767835923
Monaco,10,2.4447156865138636E-6
Malta,10,1.648715117690145E-4
San Marino,10,0.0011360656055381798
Croatia,10,2.6529857989352865
Albania,10,0.8515930154907698
Bosnia & Herzegovina,10,2.9120025212667047
Montenegro,10,0.7208381842081095
Serbia,10,3.00880987677169
Greece,10,4.791333374720248
Macedonia,10,0.9475044971678552
Bulgaria,10,4.441633187261891
Portugal,10,3.0231435972751144
Spain,10,14.31884664051911
