threshold,world_total_forest_area,FAO_2000_Mha
10.0,4547.574801898999,3915.5460000000003
20.0,4064.4604248344676,3915.5460000000003
30.0,3736.060031121576,3915.5460000000003
40.0,3501.1550038140945,3915.5460000000003
50.0,3070.082229887889,3915.5460000000003
