state,bin,area_Mha
Oregon,10-20,891614.9144500993
Oregon,20-30,673441.3121653729
Oregon,30-40,467278.5915686146
Oregon,40-50,663502.2180797891
Oregon,50-60,455218.084819553
Oregon,60-70,333483.4455578771
Oregon,70-80,695478.8163853664
Oregon,80-90,1162912.7426963516
Oregon,90-100,3859745.495441205
