NAME,threshold,sum
Rhode Island,20,0.2013977544673542
New Hampshire,20,2.1162570772383917
Vermont,20,2.0100367180809915
Connecticut,20,1.034060468987537
Maine,20,7.323478698406157
Massachusetts,20,1.6277886719361567
New Jersey,20,1.1949018300507814
Pennsylvania,20,7.767655375481756
New York,20,8.73528990683654
Illinois,20,2.3783837798544316
Wisconsin,20,7.429997256033362
Ohio,20,3.7495724049828407
Michigan,20,8.965296045350422
Indiana,20,2.248710011679517
Minnesota,20,8.378044815537676
Nebraska,20,0.43679365256485864
North Dakota,20,0.5408123657413456
Missouri,20,7.132721737294381
Kansas,20,1.0922073882487227
South Dakota,20,0.623794952245273
Iowa,20,1.3157738840799993
West Virginia,20,5.240598925516105
Florida,20,7.98432667607004
Maryland,20,1.320157433680433
North Carolina,20,8.347556626655017
Delaware,20,0.18289797100250324
Georgia,20,10.217300706131724
South Carolina,20,5.447327012861103
Virginia,20,7.155349623250046
Alabama,20,9.38539814668459
Tennessee,20,6.4508197441498325
Kentucky,20,5.654159363358381
Mississippi,20,8.001408791273436
Louisiana,20,6.5657950239209875
Texas,20,9.501453353324143
Oklahoma,20,3.836271715984795
Arkansas,20,7.93167015347455
Idaho,20,7.7248905857306704
New Mexico,20,2.9120000455760517
Utah,20,2.457545778674725
Colorado,20,5.420017529762543
Wyoming,20,2.96308061029944
Nevada,20,1.0272081976401883
Montana,20,7.9424823576054555
Arizona,20,2.4164213314474297
California,20,11.124684371179923
Oregon,20,10.433402333675053
Washington,20,9.01612603359366
Hawaii,20,0.7032980514658357
Alaska,20,52.74503682498447
