NAME,threshold,sum
Rhode Island,30,0.19289855590364582
New Hampshire,30,2.0926927827597335
Vermont,30,1.9863837248316587
Connecticut,30,1.0041270589038387
Maine,30,7.259673261550709
Massachusetts,30,1.5718875019950003
New Jersey,30,1.128395005627504
Pennsylvania,30,7.549203964309845
New York,30,8.510468303907817
Illinois,30,2.2179450257455104
Wisconsin,30,7.196678215355529
Ohio,30,3.570612636449545
Michigan,30,8.696012094371474
Indiana,30,2.1314921819619794
Minnesota,30,8.049353432289688
Nebraska,30,0.3357241491220843
North Dakota,30,0.40924920292028366
Missouri,30,6.776947845355062
Kansas,30,0.908871485416456
South Dakota,30,0.509972897102432
Iowa,30,1.1928363249303402
West Virginia,30,5.1629837353760415
Florida,30,7.456015031171761
Maryland,30,1.2480016530583966
North Carolina,30,8.09103399015033
Delaware,30,0.17019391580616983
Georgia,30,9.914722107395736
South Carolina,30,5.276025786982946
Virginia,30,6.977585817995336
Alabama,30,9.125928835993289
Tennessee,30,6.231638141332415
Kentucky,30,5.463003739070157
Mississippi,30,7.754558050254263
Louisiana,30,6.326096776898738
Texas,30,8.428788374253976
Oklahoma,30,3.4582582991311495
Arkansas,30,7.718343763803082
Idaho,30,7.274549180999055
New Mexico,30,2.4302559361306573
Utah,30,2.047395399054898
Colorado,30,4.808458217275771
Wyoming,30,2.676007214390051
Nevada,30,0.6813089927040783
Montana,30,7.428221720472196
Arizona,30,1.8633935359424074
California,30,9.903538830020592
Oregon,30,9.75996102151508
Washington,30,8.728645129045928
Hawaii,30,0.6638282680684857
Alaska,30,50.20578294780687
