NAME,threshold,sum
Rhode Island,50,0.17615365413732206
New Hampshire,50,2.033600853407995
Vermont,50,1.929685745581563
Connecticut,50,0.9302026972064412
Maine,50,7.066708801756936
Massachusetts,50,1.4449852788538446
New Jersey,50,0.995641640047338
Pennsylvania,50,7.162611084692411
New York,50,8.055804370082141
Illinois,50,1.9751987444949957
Wisconsin,50,6.699479493138397
Ohio,50,3.315627563581396
Michigan,50,8.141718701500011
Indiana,50,1.9573946090990186
Minnesota,50,7.306857375950459
Nebraska,50,0.20318610603025744
North Dakota,50,0.2506293476733134
Missouri,50,6.288531702350212
Kansas,50,0.6951061765339596
South Dakota,50,0.3302445716439953
Iowa,50,1.024540629822119
West Virginia,50,5.018668310903338
Florida,50,6.355811568578121
Maryland,50,1.1178595402664018
North Carolina,50,7.579390813252392
Delaware,50,0.15117906093180547
Georgia,50,9.24151028514652
South Carolina,50,4.9181063622521455
Virginia,50,6.636833631857463
Alabama,50,8.682461738409087
Tennessee,50,5.8983842493063845
Kentucky,50,5.201653079080666
Mississippi,50,7.335120064365855
Louisiana,50,5.8848983994762865
Texas,50,7.033672955792163
Oklahoma,50,2.96654687125235
Arkansas,50,7.33797212882522
Idaho,50,6.417787236396905
New Mexico,50,1.6415072931161616
Utah,50,1.5103039515532966
Colorado,50,3.7227650450637157
Wyoming,50,2.156540850995214
Nevada,50,0.39028755411265575
Montana,50,6.41502971404445
Arizona,50,1.1924936407416875
California,50,8.072230198827045
Oregon,50,8.629180211870075
Washington,50,8.08415953009581
Hawaii,50,0.5815740620211204
Alaska,50,37.03961996200294
