country_na,threshold,sum
Chad,10,13.103521128305042
Malawi,10,7.149531437650368
Zambia,10,61.58971057229582
Zimbabwe,10,18.678327691582673
Botswana,10,2.6420437884909065
Namibia,10,1.771633094804582
Angola,10,97.01306719949991
Burundi,10,2.28390180640884
Rwanda,10,2.066463964373473
South Africa,10,22.634564626874482
Lesotho,10,0.12817708508961245
Swaziland,10,1.4668768228993603
Niger,10,0.026923209494363366
Sudan,10,2.718611945873222
Libya,10,0.024780656993326454
Tunisia,10,0.2920033582504432
Egypt,10,0.955950617918848
Eritrea,10,0.0016488128279991596
Ethiopia,10,31.851754437505736
Djibouti,10,1.4094478962019376E-5
Somalia,10,3.975323098435011
Kenya,10,11.073128283851345
Uganda,10,18.38184276158388
Tanzania,10,65.48896778261683
Mozambique,10,71.04642130938953
Comoros,10,0.15788973842977616
Madagascar,10,33.356109093006246
Cabo Verde,10,0.011146388080267624
Mauritania,10,6.502349122867359E-5
Morocco,10,1.133243667350399
Algeria,10,1.714722157987719
Mali,10,8.406427654629557
Burkina Faso,10,3.38219959755145
Togo,10,4.318550807273553
Ghana,10,18.477190981346713
Cote d'Ivoire,10,30.96214154270173
Guinea,10,22.584377371674393
Senegal,10,4.8126829146701455
"Gambia, The",10,0.46498325561916676
Guinea-Bissau,10,2.9184107806012283
Sierra Leone,10,7.133107786781882
Liberia,10,9.54765482910958
Benin,10,8.978525507417597
Nigeria,10,43.11641262781392
Cameroon,10,41.714391822860264
Equatorial Guinea,10,2.660897478292477
Sao Tome & Principe,10,0.015215958952203434
Gabon,10,25.761527174553702
Rep of the Congo,10,33.70436939648492
Central African Rep,10,60.04853513639174
Dem Rep of the Congo,10,227.77899756039074
Japan,10,27.571137395583577
"Korea, South",10,5.71911902293309
"Korea, North",10,5.865169649223375
China,10,47.2271221851735
China,10,2.015101189588772
China,10,36.79294560739585
China,10,103.91099433582109
Russia,10,99.31824897188743
Ukraine,10,13.224935285155981
Romania,10,8.517666708069124
Moldova,10,0.4517069585082871
Russia,10,91.28059222474744
Finland,10,22.635648511024016
Norway,10,12.429635654317785
Andorra,10,0.02083154058359698
Italy,10,10.499592767832711
Monaco,10,2.4447156865138636E-6
Malta,10,1.648715117690145E-4
San Marino,10,0.0011360656055381798
Croatia,10,2.65298579894004
Albania,10,0.8515930154907699
Bosnia & Herzegovina,10,2.9120025212667597
Montenegro,10,0.7208381842081095
Serbia,10,3.008809876771708
Greece,10,4.791333374717306
Macedonia,10,0.9475044971678552
Bulgaria,10,4.441633187261603
Portugal,10,3.023143597274569
Spain,10,14.318846640509117
France,10,18.408277294673375
Sweden,10,29.28418126891773
Denmark,10,0.7573104750322698
Estonia,10,2.774902622323077
Latvia,10,3.720049751880107
Lithuania,10,2.442140824195169
Belarus,10,9.71750741851144
Poland,10,11.21185990123757
Germany,10,13.500445155464142
Czechia,10,3.256353302424617
Slovakia,10,2.4849063096802517
Hungary,10,2.2347429970089228
Slovenia,10,1.3608682925801165
Austria,10,4.52544997772529
Switzerland,10,1.6545073239301409
