glc_class,weighted_mean_canopy,weighted_std_canopy,total_area_Mha
51 Open evergreen broadleaved,59.987163165048756,16.002289515279173,2.838578084996833
52 Closed evergreen broadleaved,53.914972474853435,10.65308252057266,0.08081668795344726
61 Open deciduous broadleaved,52.37182163900436,20.28465377326587,4.586552388800185
62 Closed deciduous broadleaved,68.10613819863929,14.571885891941116,85.94726324407667
71 Open evergreen needleleaved,28.13400356372159,10.409300706274191,21.160435148575907
72 Closed evergreen needleleaved,56.06679320163413,16.746808990400048,82.38580734880985
81 Open deciduous needleleaved,66.51683549921363,16.096823837630215,15.178086408366342
82 Closed deciduous needleleaved,54.83703553332781,16.977349731429022,0.5020439383739159
91 Open mixed forest,37.06782118877703,16.760538469191122,0.5025273149639827
