country,51 Open evergreen broadleaved,52 Closed evergreen broadleaved,61 Open deciduous broadleaved,62 Closed deciduous broadleaved,71 Open evergreen needleleaved,72 Closed evergreen needleleaved,81 Open deciduous needleleaved,82 Closed deciduous needleleaved,91 Open mixed forest,92 Closed mixed forest
Chad,0.0127241811152432,0.0040253874547793,0.0274991597653991,3.088982162523724,0.1430039299235392,1.763216133099377e-07,0.0005215546484477914,0.0,0.4053665698843769,0.0
Malawi,0.0846364193084358,0.1481006615228399,0.0294432347070189,4.339222158341901,0.0414809345353349,0.00023895735385792705,0.1439785898041759,0.0,0.2260643254879752,0.0
Zambia,0.1678171717413682,0.0245769903801218,0.0567225312658837,46.01930053315167,0.0565658169422859,3.6920878116575295e-05,0.0532586415640612,0.0,0.5005862773305432,0.0
Zimbabwe,0.2012029580590812,0.27079398726562,0.3696654711441167,19.020396104120344,0.0440250787036157,2.5673875825305004e-07,0.0016336355469786,0.0,0.3960583892659451,0.0
Botswana,0.022417449212969,3.978961512775841e-05,0.050880399602162,2.629446090865937,0.0006240108801564731,0.0,9.464207905735708e-05,0.0,0.0468062722288353,0.0
Namibia,0.0794203881541247,0.00011106136357780955,0.0012710213898013,0.794514309566335,0.0022610053860903,0.0,0.00033894168014488095,7.902510645863003e-08,0.5302623611079686,0.0
Angola,0.366379604395023,7.704629302109523,0.0516409096210475,72.07511976023537,0.0653998068150104,7.173066940424633e-05,0.0049286833406728,0.0,0.7895473742220229,0.0
Burundi,0.0448670118618408,0.0730651902473121,0.0070203582490953,1.003070491262655,0.0031442773538396,1.3388274098247166e-06,0.00010470651901390978,4.54803443972196e-06,0.0370479752782666,0.0
Rwanda,0.0341791820064854,0.1554266503575125,0.0063423749962072,0.6015744002092687,0.0018508031659154,3.932003572515441e-06,0.0003071548690368006,5.003635330069756e-06,0.0224214604706444,0.0
South Africa,0.1290558260495066,1.5998945331834191,0.6041737099222655,17.87491628701655,0.0862800480587693,1.493362724147573e-06,0.0062624307925886,3.146703662082473e-07,0.1970621815219924,0.0
Lesotho,0.0017985845374234,0.0001825620161142183,0.0006706464563066562,0.1499696944704597,0.0012732899450675,0.0,7.50806662850323e-05,0.0,0.008348140387931,0.0
Swaziland,1.0178064194121816e-05,0.1254225922177313,0.0315705069615276,1.06673020430304,0.0,0.0,0.0,0.0,0.0,0.0
Niger,0.001555817995073,1.6520491641358603e-06,0.0008156701155309176,0.0222985835288535,0.2196491912535312,0.0,9.733572390757672e-06,0.0318492054793711,0.0892464142251324,0.0
Sudan,0.0331809023973731,0.002227856501834,0.285199520095562,1.55726555395445,1.765117938134256,6.804961074635685e-06,0.0003008669493596017,0.0027220502654518,0.2195797695092136,0.0
Libya,8.645410872532011e-06,6.036745787696418e-07,0.0244367585419028,0.0090724131966268,0.0022890717502076,0.0365281320053074,2.444559369507715e-05,0.0010033289663482,0.0012419931473881,0.0
Tunisia,0.0033736982199936,0.0006320143375835604,0.0028116635623612,0.1835513874228118,0.00037834961053801846,0.0708695471452205,0.00020265845137123952,0.0018729512177621,0.0097314878253819,0.0
Egypt,0.0002525781974824781,1.0636688280385442e-05,0.005261530790402,0.0045155688940107,0.0019393718768815,0.0315205202402584,0.00028602952159673123,5.4422678410048775e-05,0.0062415346278556,0.0
Eritrea,0.0139267960654496,0.0010182969469153,0.0066512231215191,0.04755524833191,0.0068279227486494,1.2265536042832537e-05,0.0004485774507259066,0.0017054023036575,0.092496021347362,0.0
Ethiopia,0.4955336750462551,10.99034093892394,2.4553881059804685,23.504568124561874,0.1797368134638387,0.011357370927044,0.0035220866257131,0.0,0.7418211843034118,0.0
Djibouti,4.058529833157291e-05,4.553318795785799e-06,0.0002992092643125943,9.457352952324529e-06,0.0001740734039614722,0.0,0.0,0.0,0.0061643101156127,0.0
Somalia,0.1894025615210404,0.0075076661592117,0.2963744347517622,0.9479212014251376,0.188684883157694,0.0729646908637784,0.2468704795716282,0.0002382996017797221,0.3092678833253332,0.0
Kenya,0.3867228107979416,2.007013426606039,0.105861894238227,4.503725245803469,0.1018937340620445,0.001413901865412,0.7066326244609398,0.00027963425723953605,0.528989616511935,0.0
Uganda,0.1024727108678584,2.011673979483584,0.023938600947782,7.435150404814048,0.0199303473639147,0.00017806318200123717,0.0012882853512865,0.00017503060714574303,0.1129786810327263,0.0
Tanzania,0.689919499424244,1.822719387459225,0.0789819117751359,40.34213210065332,0.2381092191565658,0.0054265088786469,6.395768250690099,0.0006102886902112914,1.1600678779248614,0.0
Mozambique,0.3768792781048372,3.722374144930173,0.8117713690802804,58.067053262077096,0.0469084013864821,9.907648376383804e-06,1.3158065810788866,0.0,0.4192398105672911,0.0
Comoros,0.0017895542155252,0.0651051790652844,0.0012248424870355,0.0641760820725453,0.00018478226315516076,2.58747675587756e-05,0.0207588141271777,0.0,0.000303214338421419,0.0
Madagascar,0.6394902715804415,10.624365041306104,0.2060222941834875,11.23333485317992,0.2849680523822349,0.00025797213449862966,0.0076861599674431,2.2062429238189907e-05,0.1577064582565489,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006813783696903127,0.0
Mauritania,0.00011320763090338914,1.7300564536526508e-07,7.18682071573196e-06,0.0074547738387266,0.00023283892689832163,0.0,3.433794972806936e-07,0.0,0.0038985859182426,0.0
Morocco,0.0540097361686343,0.0044127125609428,0.0316619265065903,0.561062464798123,0.0098331778517999,0.6458754204765095,0.0010699613033901,0.001409056701604,0.0546664026309202,0.0
Algeria,0.0287023009438098,0.004554203858549,0.0339699780524347,1.1201005074467412,0.0022566502068036,0.6241069030165203,0.0080777532602739,0.2679731909034188,0.1313221721713757,0.0
Mali,0.0439862963473072,0.0055225914028507,0.0045466372685088,5.139729074368665,0.1119129658795752,8.792295602688682e-08,3.2345456716598164e-05,0.0014566804245653,0.4324046813384627,0.0
Burkina Faso,0.0320949843109564,0.00022247821989044135,0.0682532459016836,2.016824565164514,0.7175362857415052,0.0,9.451510976532518e-05,1.0662089074742198e-05,0.6787256939774847,0.0
Togo,0.0272430083907308,0.1301094738296214,0.0622767971986428,3.683001223139856,0.1097228778876777,0.0,2.4155448252047027e-05,0.0,0.1403718761129558,0.0
Ghana,0.1372688591299548,1.2730939785383908,0.0787709301799862,14.339608672404808,0.0267062689733623,3.295783400858454e-06,3.186133149313264e-05,0.0,0.1760846352253517,0.0
Cote d'Ivoire,0.5978750063952372,1.9721075749801469,0.0414869303305511,25.594097990092184,0.0031842076618753,3.563999372482395e-05,0.0002636904636290182,0.0,0.0964132209134498,0.0
