state,threshold,area_Mha
South Dakota,30,0.509972897102304
South Dakota,40,0.4360035196646413
South Dakota,50,0.3302445716439954
Tennessee,10,6.683991936668051
Tennessee,20,6.450819744149832
Tennessee,30,6.231638141337469
Tennessee,40,6.045609452833047
Tennessee,50,5.898384249301566
Texas,10,10.702174962949815
Texas,20,9.501453353324113
Texas,30,8.428788374238568
Texas,40,7.7010455682483325
Texas,50,7.033672955785367
Utah,10,2.933838550665165
Utah,20,2.4575457786747243
Utah,30,2.0473953990563563
Utah,40,1.8012658375361297
Utah,50,1.5103039515536016
Vermont,10,2.0436258975577166
Vermont,20,2.0100367180809915
Vermont,30,1.9863837248316587
Vermont,40,1.9640849137667529
Vermont,50,1.929685745581563
Virginia,10,7.355463531530794
Virginia,20,7.155349623252244
Virginia,30,6.977585817991462
Virginia,40,6.794950943757686
Virginia,50,6.636833631853785
Washington,10,9.441885795188773
Washington,20,9.016126033593489
Washington,30,8.728645129048932
Washington,40,8.49356870390038
Washington,50,8.084159530095446
West Virginia,10,5.3419080846431415
West Virginia,20,5.240598925510451
West Virginia,30,5.162983735366492
West Virginia,40,5.0976900539432535
West Virginia,50,5.018668310903337
Wisconsin,10,7.715147730946225
Wisconsin,20,7.429997256029384
Wisconsin,30,7.196678215356659
Wisconsin,40,6.975357976437207
Wisconsin,50,6.699479493146398
Wyoming,10,3.2692613910765758
Wyoming,20,2.9630806102994405
Wyoming,30,2.676007214389989
Wyoming,40,2.479217679815445
Wyoming,50,2.1565408509952446
