country,FAO_2000_Mha,bin
St Kitts & Nevis,0.011,Low (< 4 Mha)
Saint Lucia,0.029,Low (< 4 Mha)
St Vincent & the Grenadines,0.029,Low (< 4 Mha)
Samoa,0.172,Low (< 4 Mha)
San Marino,0.001,Low (< 4 Mha)
Sao Tome & Principe,0.059,Low (< 4 Mha)
Saudi Arabia,2.768,Low (< 4 Mha)
Senegal,9.038,Medium (4-37 Mha)
Serbia,2.483,Low (< 4 Mha)
Seychelles,0.032,Low (< 4 Mha)
Sierra Leone,2.929,Low (< 4 Mha)
Singapore,0.017,Low (< 4 Mha)
Slovakia,1.901,Low (< 4 Mha)
Slovenia,1.233,Low (< 4 Mha)
Solomon Is,2.532,Low (< 4 Mha)
Somalia,7.516,Medium (4-37 Mha)
South Africa,20.692,Medium (4-37 Mha)
Spain,17.094,Medium (4-37 Mha)
Sri Lanka,2.231,Low (< 4 Mha)
Sudan,26.334,Medium (4-37 Mha)
Suriname,14.902,Medium (4-37 Mha)
Sweden,28.163,Medium (4-37 Mha)
Switzerland,1.196,Low (< 4 Mha)
Syria,0.461,Low (< 4 Mha)
Tajikistan,0.41,Low (< 4 Mha)
Thailand,20.165,Medium (4-37 Mha)
Timor-Leste,1.087,Low (< 4 Mha)
Togo,1.268,Low (< 4 Mha)
Tonga,0.009,Low (< 4 Mha)
Trinidad & Tobago,0.237,Low (< 4 Mha)
Tunisia,0.668,Low (< 4 Mha)
Turkey,20.148,Medium (4-37 Mha)
Turkmenistan,2.33,Low (< 4 Mha)
Tuvalu,0.001,Low (< 4 Mha)
Uganda,3.401,Low (< 4 Mha)
Ukraine,9.51,Medium (4-37 Mha)
United Arab Emirates,0.315,Low (< 4 Mha)
United Kingdom,2.954,Low (< 4 Mha)
Tanzania,54.135,High (> 37 Mha)
United States,303.536,High (> 37 Mha)
Uruguay,1.336,Low (< 4 Mha)
Uzbekistan,2.961,Low (< 4 Mha)
Vanuatu,0.967,Low (< 4 Mha)
Venezuela,49.232,High (> 37 Mha)
Vietnam,11.784,Medium (4-37 Mha)
Yemen,0.549,Low (< 4 Mha)
Zambia,47.054,High (> 37 Mha)
Zimbabwe,15.658,Medium (4-37 Mha)
