NAME,threshold,sum
Rhode Island,10,0.21099035863597887
New Hampshire,10,2.1441077898637197
Vermont,10,2.0436258975577104
Connecticut,10,1.0698342198095478
Maine,10,7.397530805971669
Massachusetts,10,1.6942098706031667
New Jersey,10,1.2944403038581462
Pennsylvania,10,8.047050660970884
New York,10,9.059419367523033
Illinois,10,2.576582393080803
Wisconsin,10,7.715147730948903
Ohio,10,3.9741318881547305
Michigan,10,9.297187335799103
Indiana,10,2.3955836358832165
Minnesota,10,8.816835632438252
Nebraska,10,0.5738738835105092
North Dakota,10,0.745272717487065
Missouri,10,7.544763274745377
Kansas,10,1.2999411329530937
South Dakota,10,0.7745339211145184
Iowa,10,1.4693631674138348
West Virginia,10,5.341908084643453
Florida,10,8.578770712633082
Maryland,10,1.4005625379459272
North Carolina,10,8.610656177239026
Delaware,10,0.20004798205667912
Georgia,10,10.508861990604112
South Carolina,10,5.613855294781753
Virginia,10,7.355463531531166
Alabama,10,9.616855050684126
Tennessee,10,6.683991936668772
Kentucky,10,5.866034866590952
Mississippi,10,8.216897053183974
Louisiana,10,6.832427455823546
Texas,10,10.70217496295197
Oklahoma,10,4.213002884049471
Arkansas,10,8.149205571472715
Idaho,10,8.284597455367468
New Mexico,10,3.2856369486420163
Utah,10,2.9338385506624607
Colorado,10,6.122682502289638
Wyoming,10,3.2692613910779302
Nevada,10,1.4745858768915099
Montana,10,8.645958582081054
Arizona,10,2.9618800065161377
California,10,12.996084920803046
Oregon,10,11.325017248113694
Washington,10,9.44188579519002
Hawaii,10,0.7497841209643987
Alaska,10,56.79919040352949
